CODIGO,TÍTULO,AUTOR,EDITORIAL,ESTADO,UBICACIÓN 
DRTSC.2.001,INTRODUCCIÓN A LA PROGRAMACIÓN ,EDGARDO ALBERTO ROMERO MASÍS,EDITORIAL UNIVERSIDAD DON BOSCO,EXCELENTE,M1A1
DRTSC.2.002,"DOS: SISTEMA OPERATIVO. MANUAL BÁSICO, LO QUE USTED NECESITA SABER",JAIME HERNÁNDEZ C.,EDITORIAL CEIBA ATLÁNTIDA,BUEN ESTADO,M1A1
DRTSC.2.003,"BOLETÍN BIBLIOGRÁFICO / BIBLIOTECAS JUDICIALES ""DR. RICARDO GALLARDO""  No. 13 DE ENERO - ABRIL DE 1998",DR. RICARDO GALLARDO,-,BUEN ESTADO,M1A1
DRTSC.2.004,ANUARIO LEGISLATIVO: DEL 1° DE MAYO DE 2004 AL 30 DE ABRIL DE 2005,ASAMBLEA LEGISLATIVA DE EL SALVADOR,IMPRENTA Y OFFSET RICALDONE,BUEN ESTADO,M1A1
DRTSC.2.005,ANUARIO LEGISLATIVO: DEL 1° DE MAYO DE 2005 AL 30 DE ABRIL DE 2006,ASAMBLEA LEGISLATIVA DE EL SALVADOR,IMPRENTA Y OFFSET RICALDONE,BUEN ESTADO,M1A1
DRTSC.2.006,ANUARIO LEGISLATIVO: DEL 1° DE MAYO DE 2005 AL 30 DE ABRIL DE 2006,ASAMBLEA LEGISLATIVA DE EL SALVADOR,IMPRENTA Y OFFSET RICALDONE,BUEN ESTADO,M1A1
DRTSC.2.007,ANUARIO LEGISLATIVO: DEL 1° DE MAYO DE 2006 AL 30 DE ABRIL DE 2007,ASAMBLEA LEGISLATIVA DE EL SALVADOR,IMPRENTA Y OFFSET RICALDONE,BUEN ESTADO,M1A1
DRTSC.2.008,ANUARIO LEGISLATIVO: DEL 1° DE MAYO DE 2007 AL 30 DE ABRIL DE 2008,ASAMBLEA LEGISLATIVA DE EL SALVADOR,IMPRENTA Y OFFSET RICALDONE,BUEN ESTADO,M1A1
DRTSC.2.009,ENCICLOPEDIA ILUSTRADA DE BIOLOGÍA,DISTRIBUIDORA ESCAR E. U.,DISTRIBUIDORA ESCAR E. U.,EXCELENTE,M1A1
DRTSC.2.010,ENCICLOPEDIA ILUSTRADA DE BIOLOGÍA,DISTRIBUIDORA ESCAR E. U.,DISTRIBUIDORA ESCAR E. U.,EXCELENTE,M1A1
DRTSC.2.011,1000 COSAS SUPER INTERESANTES QUE LOS NIÑOS QUIEREN SABER,"SABINE FRITZ, ELKE SCHWALM Y OTROS AUTORES",PANAMERICANA EDITORIAL,EXCELENTE,M1A1
DRTSC.2.012,1000 COSAS SUPER INTERESANTES QUE LOS NIÑOS QUIEREN SABER,"SABINE FRITZ, ELKE SCHWALM Y OTROS AUTORES",PANAMERICANA EDITORIAL,EXCELENTE,M1A1
DRTSC.2.013,"ANALES DEL MUSEO NACIONAL DE ANTROPOLOGÍA DR. DAVID J. GUZMÁN. CUARTA ÉPOCA No. 54, ENERO - DICIEMBRE DE 2015",MUSEO NACIONAL DE ANTROPOLOGÍA DR. DAVID J. GUZMÁN / SECRETARIA DE CULTURA DE LA PRESIDENCIA,DIRECCIÓN DE PUBLICACIONES E IMPRESOS (DPI),EXCELENTE,M1A1
DRTSC.2.014,"ANALES DEL MUSEO NACIONAL DE ANTROPOLOGÍA DR. DAVID J. GUZMÁN. CUARTA ÉPOCA No. 54, ENERO - DICIEMBRE DE 2015",MUSEO NACIONAL DE ANTROPOLOGÍA DR. DAVID J. GUZMÁN / SECRETARIA DE CULTURA DE LA PRESIDENCIA,DIRECCIÓN DE PUBLICACIONES E IMPRESOS (DPI),EXCELENTE,M1A1
DRTSC.2.015,"ANALES DEL MUSEO NACIONAL DE ANTROPOLOGÍA DR. DAVID J. GUZMÁN. CUARTA ÉPOCA No. 54, ENERO - DICIEMBRE DE 2015",MUSEO NACIONAL DE ANTROPOLOGÍA DR. DAVID J. GUZMÁN / SECRETARIA DE CULTURA DE LA PRESIDENCIA,DIRECCIÓN DE PUBLICACIONES E IMPRESOS (DPI),EXCELENTE,M1A1
DRTSC.2.016,"ANALES DEL MUSEO NACIONAL DE ANTROPOLOGÍA DR. DAVID J. GUZMÁN. CUARTA ÉPOCA No. 55, ENERO - JUNIO DE 2016",MUSEO NACIONAL DE ANTROPOLOGÍA DR. DAVID J. GUZMÁN / SECRETARIA DE CULTURA DE LA PRESIDENCIA,DIRECCIÓN DE PUBLICACIONES E IMPRESOS (DPI),EXCELENTE,M1A1
DRTSC.2.017,"ANALES DEL MUSEO NACIONAL DE ANTROPOLOGÍA DR. DAVID J. GUZMÁN. CUARTA ÉPOCA No. 55, ENERO - JUNIO DE 2016",MUSEO NACIONAL DE ANTROPOLOGÍA DR. DAVID J. GUZMÁN / SECRETARIA DE CULTURA DE LA PRESIDENCIA,DIRECCIÓN DE PUBLICACIONES E IMPRESOS (DPI),EXCELENTE,M1A1
DRTSC.2.018,"ANALES DEL MUSEO NACIONAL DE ANTROPOLOGÍA DR. DAVID J. GUZMÁN. CUARTA ÉPOCA No. 55, ENERO - JUNIO DE 2016",MUSEO NACIONAL DE ANTROPOLOGÍA DR. DAVID J. GUZMÁN / SECRETARIA DE CULTURA DE LA PRESIDENCIA,DIRECCIÓN DE PUBLICACIONES E IMPRESOS (DPI),EXCELENTE,M1A1
DRTSC.2.019,"ANALES DEL MUSEO NACIONAL DE ANTROPOLOGÍA DR. DAVID J. GUZMÁN. CUARTA ÉPOCA No. 56, JULIO - DICIEMBRE DE 2016",MUSEO NACIONAL DE ANTROPOLOGÍA DR. DAVID J. GUZMÁN / SECRETARIA DE CULTURA DE LA PRESIDENCIA,DIRECCIÓN DE PUBLICACIONES E IMPRESOS (DPI),EXCELENTE,M1A1
DRTSC.2.020,"ANALES DEL MUSEO NACIONAL DE ANTROPOLOGÍA DR. DAVID J. GUZMÁN. CUARTA ÉPOCA No. 56, JULIO - DICIEMBRE DE 2016",MUSEO NACIONAL DE ANTROPOLOGÍA DR. DAVID J. GUZMÁN / SECRETARIA DE CULTURA DE LA PRESIDENCIA,DIRECCIÓN DE PUBLICACIONES E IMPRESOS (DPI),EXCELENTE,M1A1
DRTSC.2.021,"ANALES DEL MUSEO NACIONAL DE ANTROPOLOGÍA DR. DAVID J. GUZMÁN. CUARTA ÉPOCA No. 56, JULIO - DICIEMBRE DE 2016",MUSEO NACIONAL DE ANTROPOLOGÍA DR. DAVID J. GUZMÁN / SECRETARIA DE CULTURA DE LA PRESIDENCIA,DIRECCIÓN DE PUBLICACIONES E IMPRESOS (DPI),EXCELENTE,M1A1
DRTSC.2.022,"ANÁLISIS: REVISTA DEL INSTITUTO DE INVESTIGACIÓN CIENTÍFICA UNSSA, TOMO II, N° 12 / 13, ENERO  - FEBRERO 1999",UNIVERSIDAD NUEVA SAN SALVADOR,ARTYCOLOR EDITORES IMPRESORES,EXCELENTE,M1A1
DRTSC.2.023,"ANAQUELES: REVISTA DE LA BIBLIOTECA NACIONAL ""FRANCISCO GAVIDIA"" NUEVA ÉPOCA, No. 01, 2015",SECRETARIA DE CULTURA DE LA PRESIDENCIA  / DIRECCIÓN NACIONAL DE ARCHIVO Y BIBLIOTECAS,DIRECCIÓN DE PUBLICACIONES E IMPRESOS (DPI),EXCELENTE,M1A1
